Xema sabini|Sabine's Gull
Chlidonias niger|Black Tern
Phalacrocorax carbo|Great Cormorant
Strix nebulosa|Great Gray Owl
Aegolius funereus|Boreal Owl
Bartramia longicauda|Upland Sandpiper
Stercorarius pomarinus|Pomarine Jaeger
Stercorarius parasiticus|Parasitic Jaeger
Rissa tridactyla|Black-legged Kittiwake
Sterna paradisaea|Arctic Tern
Morus bassanus|Northern Gannet
Elanoides forficatus|Swallow-tailed Kite
Pica hudsonia|Black-billed Magpie
Passer montanus|Eurasian Tree Sparrow
Dendrocygna autumnalis|Black-bellied Whistling-Duck
Dendrocygna bicolor|Fulvous Whistling-Duck
Anser serrirostris|Tundra Bean-Goose
Anser brachyrhynchus|Pink-footed Goose
Branta leucopsis|Barnacle Goose
Spatula querquedula|Garganey
Spatula cyanoptera|Cinnamon Teal
Anas fulvigula|Mottled Duck
Mergellus albellus|Smew
Colinus virginianus|Northern Bobwhite
Canachites canadensis|Spruce Grouse
Lagopus muta|Rock Ptarmigan
Tympanuchus phasianellus|Sharp-tailed Grouse
Tympanuchus cupido|Greater Prairie-Chicken
Perdix perdix|Gray Partridge
Patagioenas leucocephala|White-crowned Pigeon
Columbina inca|Inca Dove
Crotophaga sulcirostris|Groove-billed Ani
Chordeiles acutipennis|Lesser Nighthawk
Streptoprocne zonaris|White-collared Swift
Colibri thalassinus|Mexican Violetear
Selasphorus calliope|Calliope Hummingbird
Cynanthus latirostris|Broad-billed Hummingbird
Rallus elegans|King Rail
Laterallus jamaicensis|Black Rail
Aramus guarauna|Limpkin
Grus americana|Whooping Crane
Haematopus palliatus|American Oystercatcher
Charadrius morinellus|Eurasian Dotterel
Charadrius mongolus|Lesser Sand-Plover
Charadrius wilsonia|Wilson's Plover
Charadrius nivosus|Snowy Plover
Charadrius montanus|Mountain Plover
Numenius phaeopus|Whimbrel
Limosa limosa|Black-tailed Godwit
Calidris pugnax|Ruff
Calidris acuminata|Sharp-tailed Sandpiper
Calidris ferruginea|Curlew Sandpiper
Calidris minuta|Little Stint
Tringa incana|Wandering Tattler
Tringa erythropus|Spotted Redshank
Tringa stagnatilis|Marsh Sandpiper
Stercorarius longicaudus|Long-tailed Jaeger
Uria lomvia|Thick-billed Murre
Cepphus grylle|Black Guillemot
Fratercula arctica|Atlantic Puffin
Rhodostethia rosea|Ross's Gull
Larus crassirostris|Black-tailed Gull
Larus canus|Common Gull
Larus brachyrhynchus|Short-billed Gull
Larus argentatus|Herring Gull
Larus dominicanus|Kelp Gull
Onychoprion fuscatus|Sooty Tern
Sternula antillarum|Least Tern
Chlidonias leucopterus|White-winged Tern
Thalasseus maximus|Royal Tern
Thalasseus sandvicensis|Sandwich Tern
Gavia adamsii|Yellow-billed Loon
Hydrobates leucorhous|Leach's Storm-Petrel
Hydrobates castro|Band-rumped Storm-Petrel
Fulmarus glacialis|Northern Fulmar
Ardenna tenuirostris|Short-tailed Shearwater
Puffinus puffinus|Manx Shearwater
Mycteria americana|Wood Stork
Fregata magnificens|Magnificent Frigatebird
Sula leucogaster|Brown Booby
Anhinga anhinga|Anhinga
Ixobrychus exilis|Least Bittern
Egretta garzetta|Little Egret
Egretta rufescens|Reddish Egret
Eudocimus albus|White Ibis
Plegadis falcinellus|Glossy Ibis
Ictinia mississippiensis|Mississippi Kite
Surnia ulula|Northern Hawk Owl
Picoides dorsalis|American Three-toed Woodpecker
Caracara plancus|Crested Caracara
Pitangus sulphuratus|Great Kiskadee
Myiodynastes luteiventris|Sulphur-bellied Flycatcher
Empidonomus varius|Variegated Flycatcher
Tyrannus melancholicus|Tropical Kingbird
Tyrannus crassirostris|Thick-billed Kingbird
Tyrannus dominicensis|Gray Kingbird
Pyrocephalus rubinus|Vermilion Flycatcher
Vireo atricapilla|Black-capped Vireo
Vireo plumbeus|Plumbeous Vireo
Corvus monedula|Eurasian Jackdaw
Corvus cryptoleucus|Chihuahuan Raven
Poecile carolinensis|Carolina Chickadee
Phylloscopus inornatus|Yellow-browed Warbler
Cistothorus platensis|Grass Wren
Oreoscoptes montanus|Sage Thrasher
Catharus bicknelli|Bicknell's Thrush
Turdus merula|Eurasian Blackbird
Turdus pilaris|Fieldfare
Calliope calliope|Siberian Rubythroat
Oenanthe oenanthe|Northern Wheatear
Motacilla alba|White Wagtail
Anthus spragueii|Sprague's Pipit
Fringilla montifringilla|Brambling
Haemorhous cassinii|Cassin's Finch
Acanthis hornemanni|Hoary Redpoll
Calcarius ornatus|Chestnut-collared Longspur
Calcarius pictus|Smith's Longspur
Rhynchophanes mccownii|Thick-billed Longspur
Peucaea cassinii|Cassin's Sparrow
Peucaea aestivalis|Bachman's Sparrow
Centronyx bairdii|Baird's Sparrow
Centronyx henslowii|Henslow's Sparrow
Helmitheros vermivorum|Worm-eating Warbler
Leiothlypis virginiae|Virginia's Warbler
Setophaga graciae|Grace's Warbler
Myioborus pictus|Painted Redstart
Piranga flava|Hepatic Tanager
Cardinalis sinuatus|Pyrrhuloxia
Passerina versicolor|Varied Bunting
Passerina ciris|Painted Bunting
